MARKET,MARKET_TIMEZONE,PARTNER,PARTNER_REGISTR_DATE_LOCAL,TOTAL_REGISTRATIONS
TVG,-05:00,APPLE,2016-08-08,211
TVG,-05:00,APPLE,2016-08-09,190
TVG,-05:00,APPLE,2016-08-10,222
TVG,-05:00,APPLE,2016-08-11,207
TVG,-05:00,GARMIN,2016-08-04,9
TVG,-05:00,GARMIN,2016-08-05,44
TVG,-05:00,GARMIN,2016-08-06,25
TVG,-05:00,GARMIN,2016-08-07,24
TVG,-05:00,GARMIN,2016-08-08,66
TVG,-05:00,GARMIN,2016-08-09,37
TVG,-05:00,GARMIN,2016-08-10,25
TVG,-05:00,GARMIN,2016-08-11,53
TVG,-05:00,POLAR,2016-08-05,12
TVG,-05:00,POLAR,2016-08-06,4
TVG,-05:00,POLAR,2016-08-07,5
TVG,-05:00,POLAR,2016-08-08,11
TVG,-05:00,POLAR,2016-08-09,8
TVG,-05:00,POLAR,2016-08-10,4
TVG,-05:00,POLAR,2016-08-11,14
VitalityHealth / Life,UTC,APPLE,2016-08-05,75
VitalityHealth / Life,UTC,APPLE,2016-08-06,48
VitalityHealth / Life,UTC,APPLE,2016-08-07,72
VitalityHealth / Life,UTC,APPLE,2016-08-08,93
VitalityHealth / Life,UTC,APPLE,2016-08-09,89
VitalityHealth / Life,UTC,APPLE,2016-08-10,109
VitalityHealth / Life,UTC,APPLE,2016-08-11,94
VitalityHealth / Life,UTC,GARMIN,2016-08-05,92
VitalityHealth / Life,UTC,GARMIN,2016-08-06,43
VitalityHealth / Life,UTC,GARMIN,2016-08-07,46
VitalityHealth / Life,UTC,GARMIN,2016-08-08,108
VitalityHealth / Life,UTC,GARMIN,2016-08-09,67
VitalityHealth / Life,UTC,GARMIN,2016-08-10,133
VitalityHealth / Life,UTC,GARMIN,2016-08-11,144
VitalityHealth / Life,UTC,POLAR,2016-08-05,25
VitalityHealth / Life,UTC,POLAR,2016-08-06,10
VitalityHealth / Life,UTC,POLAR,2016-08-07,3
VitalityHealth / Life,UTC,POLAR,2016-08-08,27
VitalityHealth / Life,UTC,POLAR,2016-08-09,24
VitalityHealth / Life,UTC,POLAR,2016-08-10,19
VitalityHealth / Life,UTC,POLAR,2016-08-11,21
VitalityHealth / Life,UTC,VALIDIC,2016-08-05,205
VitalityHealth / Life,UTC,VALIDIC,2016-08-06,126
VitalityHealth / Life,UTC,VALIDIC,2016-08-07,142
VitalityHealth / Life,UTC,VALIDIC,2016-08-08,225
VitalityHealth / Life,UTC,VALIDIC,2016-08-09,230
VitalityHealth / Life,UTC,VALIDIC,2016-08-10,258
VitalityHealth / Life,UTC,VALIDIC,2016-08-11,239
AIA Australia,+09:30,GARMIN,2016-08-13,2
AIA Australia,+09:30,GARMIN,2016-08-14,4
AIA Australia,+09:30,GARMIN,2016-08-15,8
AIA Australia,+09:30,GARMIN,2016-08-16,13
AIA Australia,+09:30,GARMIN,2016-08-17,2
AIA Australia,+09:30,POLAR,2016-08-14,1
AIA Australia,+09:30,VALIDIC,2016-08-13,10
AIA Australia,+09:30,VALIDIC,2016-08-14,5
AIA Australia,+09:30,VALIDIC,2016-08-15,11
AIA Australia,+09:30,VALIDIC,2016-08-16,15
AIA Australia,+09:30,VALIDIC,2016-08-17,16
AIA Australia,+09:30,VALIDIC,2016-08-18,4
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-13,3
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-14,4
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-15,11
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-16,7
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-17,7
AIA Australia,+09:30,VITALITY SELF-REPORTED,2016-08-18,2
AIA Hong Kong,+08:00,APPLE,2016-08-13,695
AIA Hong Kong,+08:00,APPLE,2016-08-14,469
AIA Hong Kong,+08:00,APPLE,2016-08-15,759
AIA Hong Kong,+08:00,APPLE,2016-08-16,728
AIA Hong Kong,+08:00,APPLE,2016-08-17,608
AIA Hong Kong,+08:00,APPLE,2016-08-18,50
AIA Hong Kong,+08:00,GARMIN,2016-08-13,49
AIA Hong Kong,+08:00,GARMIN,2016-08-14,36
AIA Hong Kong,+08:00,GARMIN,2016-08-15,47
AIA Hong Kong,+08:00,GARMIN,2016-08-16,45
AIA Hong Kong,+08:00,GARMIN,2016-08-17,51
