MARKET,MARKET_TIMEZONE,PARTNER,PARTNER_REGISTR_DATE_LOCAL,TOTAL_REGISTRATIONS
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-09,172
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-10,162
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-11,138
AIA Hong Kong,+08:00,VITALITY SELF-REPORTED,2016-08-12,2
AIA Hong Kong,+08:00,XIAOMI,2016-08-05,77
AIA Hong Kong,+08:00,XIAOMI,2016-08-06,66
AIA Hong Kong,+08:00,XIAOMI,2016-08-07,40
AIA Hong Kong,+08:00,XIAOMI,2016-08-08,151
AIA Hong Kong,+08:00,XIAOMI,2016-08-09,224
AIA Hong Kong,+08:00,XIAOMI,2016-08-10,290
AIA Hong Kong,+08:00,XIAOMI,2016-08-11,363
AIA Hong Kong,+08:00,XIAOMI,2016-08-12,35
AIA Malaysia,+08:00,APPLE,2016-08-05,11
